the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,Shelter_ID,Corner,On_Street,Cross_Stre,Longitude,Latitude,NTAName,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.94461157758346 40.615770760895465),3,Brooklyn,318,45,41,21,9,BR03025,SE,NOSTRAND AV,KINGS HWY,-73.944.613,40.615.779,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.9420255790884 40.600555763550005),3,Brooklyn,315,46,41,22,8,BR03026,NW,NOSTRAND AV,Av U,-73.942.027,40.600.564,Madison,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.95296857241732 40.65593575301813),3,Brooklyn,309,40,43,20,9,BR03027,SE,ROGERS AV,PARKSIDE AV,-7.395.297,40.655.944,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95296257210909 40.655899753296225),3,Brooklyn,309,40,43,20,9,BR03028,SE,ROGERS AV,PARKSIDE AV,-73.952.964,40.655.908,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.951700569625 40.69072674637874),3,Brooklyn,303,36,57,25,8,BR03029,NW,NOSTRAND AV,Kosciuszko St,-73.951.702,40.690.735,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95171057057453 40.690766745972496),3,Brooklyn,303,36,57,25,8,BR03030,NW,NOSTRAND AV,Kosciuszko St,-73.951.712,40.690.775,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94962857095618 40.6797717484904),3,Brooklyn,303,36,57,25,8,BR03031,NW,NOSTRAND AV,Herkimer St (Fulton),-7.394.963,4.067.978,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94961857141912 40.679841748309514),3,Brooklyn,303,36,57,25,8,BR03032,NW,NOSTRAND AV,Herkimer St (Fulton),-7.394.962,4.067.985,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95046257152357 40.670904750226285),3,Brooklyn,308,35,43,20,9,BR03033,NW,NOSTRAND AV,Lincoln Pl (St Johns Pl),-73.950.464,40.670.913,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95045857192571 40.67094574987406),3,Brooklyn,308,35,43,20,9,BR03034,NW,NOSTRAND AV,Lincoln Pl (St Johns Pl),-7.395.046,40.670.954,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95005857349597 40.654811752576784),3,Brooklyn,317,40,43,20,9,BR03036,SW,NOSTRAND AV,CLARKSON AV,-7.395.006,4.065.482,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94957457326997 40.65021375434244),3,Brooklyn,317,40,42,21,9,BR03037,SW,NOSTRAND AV,CHURCH AV,-73.949.576,40.650.222,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94957757293598 40.650252753474724),3,Brooklyn,317,40,42,21,9,BR03038,SW,NOSTRAND AV,CHURCH AV,-73.949.579,40.650.261,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95247757195341 40.651372753522494),3,Brooklyn,317,40,42,21,9,BR03041,SE,ROGERS AV,Martense St,-73.952.479,40.651.381,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95377957117574 40.66355175099353),3,Brooklyn,309,40,43,20,9,BR03043,SE,ROGERS AV,Empire Blvd,-73.953.781,4.066.356,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95376957155335 40.66349175188156),3,Brooklyn,309,40,43,20,9,BR03044,SE,ROGERS AV,Empire Blvd,-73.953.771,406.635,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95305757074802 40.67161574975634),3,Brooklyn,308,35,43,20,9,BR03045,SE,ROGERS AV,ST JOHNS PL,-73.953.059,40.671.624,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95306057131211 40.67157874970392),3,Brooklyn,308,35,43,20,9,BR03046,SE,ROGERS AV,ST JOHNS PL,-73.953.062,40.671.587,Crown Heights (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95340856979112 40.681231747699634),3,Brooklyn,303,36,57,25,8,BR03047,SE,BEDFORD AV,Halsey St,-7.395.341,4.068.124,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95339657012619 40.68118674774089),3,Brooklyn,303,36,57,25,8,BR03048,SE,BEDFORD AV,Halsey St,-73.953.398,40.681.195,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95501056958823 40.68928674613129),3,Brooklyn,303,36,57,25,8,BR03049,SE,BEDFORD AV,Lafayette Av,-73.955.012,40.689.295,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95500356906848 40.689250746270474),3,Brooklyn,303,36,57,25,8,BR03050,SE,BEDFORD AV,Lafayette Av,-73.955.005,40.689.259,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98224356127365 40.685810748201334),3,Brooklyn,302,33,52,26,10,BR03052,SE,ATLANTIC AV,NEVINS ST,-73.982.245,40.685.819,Downtown Brooklyn-DUMBO-Boerum Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00939855526755 40.635291758975605),3,Brooklyn,312,38,49,17,10,BR03053,SE,60 St,8 AV,-740.094,406.353,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90840858428585 40.69276174441609),3,Brooklyn,304,37,54,18,7,BR03054,NW,HALSEY ST,Knickerbocker Av,-7.390.841,4.069.277,Bushwick (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0092385563817 40.6111117640061),3,Brooklyn,311,43,47,17,11,BR03055,SE,86 St,15 AV,-7.400.924,4.061.112,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94726757652289 40.61441876095218),3,Brooklyn,314,45,41,22,9,BR03056,SW,KINGS HWY,E 27 ST,-73.947.269,40.614.427,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.89451858956303 40.66606174906684),3,Brooklyn,305,42,60,19,8,BR03057,SW,Pennsylvania Av,Dumont Av,-7.389.452,4.066.607,East New York-New Lots,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9940805561622 40.690053747228056),3,Brooklyn,306,39,52,26,10,BR03058,NW,ATLANTIC AV,CLINTON ST,-73.994.082,40.690.062,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94153357866688 40.59799376362543),3,Brooklyn,315,48,41,22,8,BR03059,SW,NOSTRAND AV,Av V,-73.941.535,40.598.002,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.90354758580906 40.678171747064006),3,Brooklyn,316,37,55,25,7,BR03061,NW,Van Sinderen Av,FULTON ST,-73.903.549,4.067.818,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9035875858415 40.67840474653989),3,Brooklyn,316,37,55,25,7,BR03062,NW,Van Sinderen Av,FULTON ST,-73.903.589,40.678.413,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9035945863852 40.678447746596724),3,Brooklyn,316,37,55,25,7,BR03063,NW,Van Sinderen Av,FULTON ST,-73.903.596,40.678.456,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89997258719782 40.676662746859854),3,Brooklyn,305,37,55,19,8,BR03064,SE,Alabama Av,EAST NEW YORK AV,-73.899.974,40.676.671,East New York (North),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92928157768004 40.684503746100475),3,Brooklyn,303,36,56,25,8,BR03066,NE,MALCOLM X BLVD,Halsey St,-73.929.283,40.684.512,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92900657832405 40.67944774752285),3,Brooklyn,303,36,56,25,8,BR03067,NW,MALCOLM X BLVD,FULTON ST,-73.929.008,40.679.456,Bedford-Stuyvesant (East),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93119057913059 40.65798875171489),3,Brooklyn,309,41,43,20,9,BR03068,SW,UTICA AV,Winthrop St,-73.931.192,40.657.997,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95374257035353 40.6808067478289),3,Brooklyn,303,36,57,25,8,BR03070,NW,FULTON ST,Bedford Av,-73.953.744,40.680.815,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95480656919503 40.68579474722095),3,Brooklyn,303,36,57,25,8,BR03071,NW,GATES AV,Bedford Av,-73.954.808,40.685.803,Bedford-Stuyvesant (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97387556942813 40.59021576616879),3,Brooklyn,315,47,45,22,8,BR03072,NE,Av X,McDonald Av,-73.973.877,40.590.224,Gravesend (East)-Homecrest,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.92979058121527 40.6160297594928),3,Brooklyn,318,46,59,21,8,BR03073,SW,Flatbush Av,Av R,-73.929.792,40.616.038,Marine Park-Mill Basin-Bergen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.91717258283524 40.67000774892589),3,Brooklyn,316,41,55,25,8,BR03074,NW,SARATOGA AV,St Johns Pl,-73.917.174,40.670.016,Ocean Hill,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97487056733655 40.6211957603179),3,Brooklyn,312,44,48,22,9,BR03075,SE,BAY PKWY,McDonald Av,-73.974.872,40.621.204,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96232856677052 40.700061744995594),3,Brooklyn,302,33,52,18,7,BR03076,SW,WILLIAMSBURG ST,Kent Av,-7.396.233,4.070.007,Brooklyn Navy Yard,AE,,2
POINT (-73.95261657367672 40.63066875743791),3,Brooklyn,314,45,42,21,9,BR03077,SW,BEDFORD AV,CAMPUS RD,-73.952.618,40.630.677,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.95466757541874 40.58801176666653),3,Brooklyn,315,48,45,22,8,BR03078,NE,AV Z,E 15 ST,-73.954.669,4.058.802,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-74.01233355375754 40.64326275704426),3,Brooklyn,307,38,51,26,10,BR0326,SW,5 AV,53 ST,-74.012.335,40.643.271,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99191155912243 40.66292475283788),3,Brooklyn,307,38,51,26,10,BR0337,SW,5 AV,18 ST,-73.991.913,40.662.933,Sunset Park (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01159955378512 40.636620759069956),3,Brooklyn,307,38,49,17,10,BR0347,SE,60 ST,7 AV,-74.011.601,40.636.629,Sunset Park (Central),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96864956584078 40.6779017490188),3,Brooklyn,308,35,44,25,10,BR0364,NE,VANDERBILT AV,PROSPECT PL,-73.968.651,4.067.791,Prospect Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96178356861758 40.6631137516612),3,Brooklyn,309,40,43,20,9,BR0388,SE,EMPIRE BLVD,FLATBUSH AV,-73.961.785,40.663.122,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9621925691344 40.662582751508715),3,Brooklyn,309,40,43,20,9,BR0389,SW,FLATBUSH AV,OCEAN AV,-73.962.194,40.662.591,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95062157200607 40.66940075048405),3,Brooklyn,309,35,43,20,9,BR0390,SW,NOSTRAND AV,EASTERN PKWY,-73.950.623,40.669.409,Crown Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95136257207416 40.66396875157705),3,Brooklyn,309,35,43,20,9,BR0395,NW,EMPIRE BLVD,NOSTRAND AV,-73.951.364,40.663.977,Crown Heights (South),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95060357238577 40.66382175118007),3,Brooklyn,309,40,43,20,9,BR0396,SE,EMPIRE BLVD,NOSTRAND AV,-73.950.605,4.066.383,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95645557064798 40.65558475276121),3,Brooklyn,309,40,43,20,9,BR0398,SW,BEDFORD AV,PARKSIDE AV,-73.956.457,40.655.593,Prospect Lefferts Gardens-Wingate,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96140156940626 40.65496075317386),3,Brooklyn,314,40,43,20,9,BR0399,SE,PARKSIDE AV,OCEAN AV,-73.961.403,40.654.969,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95005957246693 40.65476775284084),3,Brooklyn,317,40,43,20,9,BR0400,SW,NOSTRAND AV,CLARKSON AV,-73.950.061,40.654.776,East Flatbush-Erasmus,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.04006254632033 40.621939762262905),3,Brooklyn,310,43,64,26,11,BR0409,NE,SHORE RD,91 ST,-74.040.064,40.621.948,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.01622155296943 40.62570876118866),3,Brooklyn,310,43,49,26,11,BR0413,NE,BAY RIDGE PKWY,FT HAMILTON PKWY,-74.016.223,40.625.717,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.0259245501978 40.62118576268645),3,Brooklyn,310,43,46,26,11,BR0416,SE,86 ST,5 AV,-74.025.926,40.621.194,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00718755691705 40.62025576151692),3,Brooklyn,310,43,49,26,11,BR0418,NE,BAY RIDGE PKWY,13 AV,-74.007.189,40.620.264,Dyker Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.02759154947705 40.631686760337196),3,Brooklyn,310,43,46,26,11,BR0420,NE,3 AV,BAYRIDGE PKWY,-74.027.593,40.631.695,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.02244155070706 40.62974276061233),3,Brooklyn,310,43,46,26,11,BR0423,NE,5 AV,BAY RIDGE PKWY,-74.022.443,40.629.751,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.03449754780856 40.61478176384022),3,Brooklyn,310,43,46,26,11,BR0424,SE,3 AV,MARINE AV,-74.034.499,4.061.479,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.02422855166463 40.62016076226119),3,Brooklyn,310,43,46,26,11,BR0430,SE,86 ST,FT HAMILTON PKWY,-7.402.423,40.620.169,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.02285055126303 40.62949276065835),3,Brooklyn,310,43,46,26,11,BR0433,SW,BAY RIDGE PKWY,5 AV,-74.022.852,40.629.501,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98682356485317 40.598144765652115),3,Brooklyn,311,47,47,17,11,BR0460,NE,25 AV,86 ST,-73.986.825,40.598.153,Gravesend (West),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,2
POINT (-73.97847856654307 40.61650776174326),3,Brooklyn,312,44,48,22,9,BR0465,SE,BAY PKWY,60 ST,-7.397.848,40.616.516,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99621456059228 40.61341576279262),3,Brooklyn,311,43,49,17,11,BR0467,SW,BAY RIDGE PKWY,18 AV,-73.996.216,40.613.424,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99628156083385 40.613202762928786),3,Brooklyn,311,43,49,17,11,BR0469,SW,18 AV,BAY RIDGE PKWY,-73.996.283,40.613.211,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99949856071449 40.59527376610564),3,Brooklyn,311,43,46,23,11,BR0471,SE,SHORE PKWY,BAY PKWY,-739.995,40.595.282,Gravesend (West),X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,1
POINT (-74.0028695593652 40.60751276389873),3,Brooklyn,311,43,47,17,11,BR0472,NW,86 ST,18 AV,-74.002.871,40.607.521,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00244955948473 40.607001764516504),3,Brooklyn,311,47,47,17,11,BR0473,SE,86 ST,18 AV,-74.002.451,4.060.701,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.00272955881589 40.60707576397727),3,Brooklyn,311,47,47,17,11,BR0474,SE,18 AV,86 ST,-74.002.731,40.607.084,Bensonhurst,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-74.0025345595172 40.607446764441164),3,Brooklyn,311,43,47,17,11,BR0475,NW,18 AV,86 ST,-74.002.536,40.607.455,Bath Beach,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99681756099011 40.59589476588326),3,Brooklyn,311,47,47,17,11,BR0481,NW,CROPSEY AV,23 AV,-73.996.819,40.595.903,Gravesend (West),X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.96569156908316 40.62673075874899),3,Brooklyn,312,44,48,22,9,BR0495,SW,CONEY ISLAND AV,AV I,-73.965.693,40.626.739,Mapleton-Midwood (West),X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9773455661671 40.63055275868358),3,Brooklyn,312,44,48,22,9,BR0498,SW,18 AV,MCDONALD AV,-73.977.347,40.630.561,Borough Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95279257358614 40.63185075719193),3,Brooklyn,314,45,42,21,9,BR0573,SW,BEDFORD AV,CAMPUS RD,-73.952.794,40.631.859,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.96471156989733 40.62473475945546),3,Brooklyn,314,44,48,22,9,BR0576,SE,AV J,CONEY ISLAND AV,-73.964.713,40.624.743,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95513157291987 40.618284760619055),3,Brooklyn,314,48,41,22,9,BR0577,SW,OCEAN AV,AV M,-73.955.133,40.618.293,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94957857478255 40.63432275733873),3,Brooklyn,314,45,42,21,9,BR0579,SW,GLENWOOD RD,FLATBUSH AV,-7.394.958,40.634.331,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95509357306362 40.62090575964254),3,Brooklyn,314,48,42,22,9,BR0582,SE,AV L,OCEAN AV,-73.955.095,40.620.914,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.95448457366935 40.61645276046844),3,Brooklyn,314,48,41,22,9,BR0583,NE,OCEAN AV,AV N,-73.954.486,40.616.461,Midwood,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95268057385667 40.63240875763976),3,Brooklyn,314,45,42,21,9,BR0584,NE,BEDFORD AV,CAMPUS RD,-73.952.682,40.632.417,Flatbush,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.94211257864453 40.600317763305405),3,Brooklyn,315,46,41,22,8,BR0591,SW,AV U,NOSTRAND AV,-73.942.114,40.600.326,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.90668957304595 40.87647870836325),2,Bronx,208,14,81,31,13,BX03271,SE,BROADWAY,EXTERIOR ST,-73.906.691,40.876.487,Kingsbridge-Marble Hill,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91280157284986 40.85383271235346),2,Bronx,205,14,86,31,13,BX03274,NW,W BURNSIDE AV,UNIVERSITY AV,-73.912.803,40.853.841,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.86613558867961 40.84488271321895),2,Bronx,211,15,80,33,14,BX03275,SW,WHITE PLAINS RD,MORRIS PARK AV,-73.866.137,40.844.891,Pelham Parkway-Van Nest,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85946459120505 40.83870871361296),2,Bronx,209,18,87,34,14,BX03276,NE,METROPOLITAN OVAL,METROPOLITAN AV,-73.859.466,40.838.717,Parkchester,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83028359779708 40.87149670664462),2,Bronx,210,12,82,36,14,BX03277,NE,ASCH LOOP,ALCOTT PL,-73.830.285,40.871.505,Co-op City,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.85037059444124 40.82963171502444),2,Bronx,209,18,87,34,14,BX03278,SE,Castle Hill Av,WATSON AV,-73.850.372,4.082.964,Castle Hill-Unionport,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9157005723097 40.85081571374741),2,Bronx,205,14,86,31,13,BX0328,NW,W TREMONT AV,UNIVERSITY AV,-73.915.702,40.850.824,University Heights (South)-Morris Heights,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83267359725151 40.87016970672543),2,Bronx,210,12,82,36,14,BX03280,NW,BAYCHESTER AV,ALDRICH ST,-73.832.675,40.870.178,Co-op City,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,
POINT (-73.82308060094985 40.86586070755402),2,Bronx,210,12,82,36,14,BX03281,NE,Hutchinson River Pkwy E,Einstein Loop North,-73.823.082,40.865.869,Co-op City,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.82384960059481 40.865021707015956),2,Bronx,210,12,82,36,14,BX03282,NE,Hutchinson River Pkwy E,Einstein Loop South,-73.823.851,4.086.503,Co-op City,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.83008159883512 40.87142970649214),2,Bronx,210,12,82,36,14,BX03283,NW,ASCH LOOP,ADLER PL,-73.830.083,40.871.438,Co-op City,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.8256106005913 40.86302670788243),2,Bronx,210,12,82,36,14,BX03284,NE,Hutchinson River Pkwy,BOLLER AV,-73.825.612,40.863.035,Co-op City,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91042557628556 40.813627720707125),2,Bronx,201,17,84,29,15,BX03002,NW,E 149 ST,TRINITY AV,-73.910.427,40.813.636,Melrose,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82459759928744 40.87384470589435),2,Bronx,210,12,82,36,14,BX03285,NW,COOP CITY BLVD,Bellamy Loop North,-73.824.599,40.873.853,Co-op City,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.82758160175405 40.8230127160542),2,Bronx,210,13,82,34,14,BX03286,SE,BALCOM AV,RANDALL AV,-73.827.583,40.823.021,Throgs Neck-Schuylerville,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82648660298746 40.82173471628878),2,Bronx,210,13,82,34,14,BX03287,SE,BALCOM AV,SCHLEY AV,-73.826.488,40.821.743,Throgs Neck-Schuylerville,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.90616557255758 40.9018097031962),2,Bronx,208,11,81,33,15,BX03288,NW,RIVERDALE AV,W 254 ST,-73.906.167,40.901.818,Riverdale-Spuyten Duyvil,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8242925995697 40.87429270556325),2,Bronx,210,12,82,36,14,BX03289,NW,COOP CITY BLVD,Bellamy Loop North,-73.824.294,40.874.301,Co-op City,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3
POINT (-73.8977415758418 40.878586707651124),2,Bronx,208,11,81,31,13,BX03290,NW,SEDGWICK AV,FT INDEPENDENCE ST,-73.897.743,40.878.595,Bedford Park,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.83398459647253 40.87626070544606),2,Bronx,210,12,82,36,14,BX03291,NW,BAYCHESTER AV,DONIZETTI PL,-73.833.986,40.876.269,Co-op City,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.8336675962681 40.87641770581234),2,Bronx,210,12,82,36,14,BX03537,NE,BAYCHESTER AV,DONIZETTI PL,-73.833.669,40.876.426,Co-op City,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.82481360264045 40.82029371603184),2,Bronx,210,13,82,34,14,BX03538,SE,DEWEY AV,BALCOM AV,-73.824.815,40.820.302,Throgs Neck-Schuylerville,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.8229586032578 40.82092171587728),2,Bronx,210,13,82,34,14,BX03539,SW,DEWEY AV,SWINTON AV,-7.382.296,4.082.093,Throgs Neck-Schuylerville,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.82329960292347 40.82102671560648),2,Bronx,210,13,82,34,14,BX03540,NW,DEWEY AV,SWINTON AV,-73.823.301,40.821.035,Throgs Neck-Schuylerville,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.84674159132389 40.88797170384916),2,Bronx,212,12,83,36,16,BX03541,NE,LACONIA AV,GRENADA PL,-73.846.743,4.088.798,Eastchester-Edenwald-Baychester,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89369058033618 40.83517571542222),2,Bronx,203,17,79,32,15,BX03542,NE,BOSTON RD,LOUIS NINE BLVD,-73.893.692,40.835.184,Crotona Park East,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90822457362431 40.86292071040559),2,Bronx,207,14,78,31,13,BX03543,NE,W FORDHAM RD,SEDGWICK AV,-73.908.226,40.862.929,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90934257284609 40.862441711342086),2,Bronx,207,14,86,31,13,BX03544,SW,W FORDHAM RD,SEDGWICK AV,-73.909.344,4.086.245,University Heights (North)-Fordham,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82811459842816 40.86965170670021),2,Bronx,210,12,82,36,14,BX03545,NW,BARTOW AV,CO-OP CITY BLVD,-73.828.116,4.086.966,Co-op City,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.86739058804437 40.83493171459306),2,Bronx,209,18,87,34,14,BX03546,SW,Cross Bronx Expwy Srv Rd,BEACH AV,-73.867.392,4.083.494,Soundview-Bruckner-Bronx River,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.88501858156123 40.85159571262507),2,Bronx,206,15,78,33,15,BX03547,SW,CROTONA AV,E 183 ST,-7.388.502,40.851.604,Belmont,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9238545709538 40.825092718868646),2,Bronx,204,8,84,29,15,BX03548,SW,Grand Concourse,E 158 ST,-73.923.856,40.825.101,Concourse-Concourse Village,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.92718357030736 40.81070372144259),2,Bronx,201,8,84,29,15,BX03549,SE,LINCOLN AV,E 138 ST,-73.927.185,40.810.712,Mott Haven-Port Morris,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.85366358941727 40.89231170350561),2,Bronx,212,12,83,36,16,BX03550,NW,E 233 ST,BUSSING AV,-73.853.665,4.089.232,Wakefield-Woodlawn,X,AREA OF MINIMAL FLOOD HAZARD,
